# #lambda	lambda_abs
5.118799999999999955e+02 2.557018181818181901e+01
5.123099999999999454e+02 2.544900000000001583e+01
5.127400000000000091e+02 2.532781818181818068e+01
5.131699999999999591e+02 2.520663636363637750e+01
5.136000000000000227e+02 2.508545454545453879e+01
5.140299999999999727e+02 2.496427272727273561e+01
5.144600000000000364e+02 2.484309090909090045e+01
5.148899999999999864e+02 2.472190909090909372e+01
5.153199999999999363e+02 2.460072727272729054e+01
5.157500000000000000e+02 2.447954545454545539e+01
5.161800000000000637e+02 2.435836363636362023e+01
5.166100000000000136e+02 2.423718181818181350e+01
5.170399999999999636e+02 2.411600000000001032e+01
5.174700000000000273e+02 2.399481818181817516e+01
5.178999999999999773e+02 2.387363636363637198e+01
5.183299999999999272e+02 2.375245454545456525e+01
5.187599999999999909e+02 2.363127272727273009e+01
5.191900000000000546e+02 2.351009090909089494e+01
5.196200000000000045e+02 2.338890909090908821e+01
5.200499999999999545e+02 2.326772727272728503e+01
5.204800000000000182e+02 2.314654545454544987e+01
5.209099999999999682e+02 2.302536363636364314e+01
5.213400000000000318e+02 2.290418181818180798e+01
5.217699999999999818e+02 2.278300000000000480e+01
5.222000000000000455e+02 2.266181818181816965e+01
5.226299999999999955e+02 2.254063636363636292e+01
5.230599999999999454e+02 2.241945454545455974e+01
5.234900000000000091e+02 2.229827272727272458e+01
5.239199999999999591e+02 2.217709090909092140e+01
5.243500000000000227e+02 2.205590909090908269e+01
5.247799999999999727e+02 2.193472727272727951e+01
5.252100000000000364e+02 2.181354545454544436e+01
5.256399999999999864e+02 2.169236363636363762e+01
5.260699999999999363e+02 2.157118181818183444e+01
5.265000000000000000e+02 2.144999999999999929e+01
5.269300000000000637e+02 2.132881818181816413e+01
5.273600000000000136e+02 2.120763636363635740e+01
5.277899999999999636e+02 2.108645454545455422e+01
5.282200000000000273e+02 2.096527272727271907e+01
5.286499999999999773e+02 2.084409090909091589e+01
5.290799999999999272e+02 2.072290909090910915e+01
5.295099999999999909e+02 2.060172727272727400e+01
5.299400000000000546e+02 2.048054545454543884e+01
5.303700000000000045e+02 2.035936363636363211e+01
5.307999999999999545e+02 2.023818181818182893e+01
5.312300000000000182e+02 2.011699999999999378e+01
5.316599999999999682e+02 1.999581818181818704e+01
5.320900000000000318e+02 1.987965217391303341e+01
5.325199999999999818e+02 1.978243478260869992e+01
5.329500000000000455e+02 1.968521739130433446e+01
5.333799999999999955e+02 1.958800000000000097e+01
5.338099999999999454e+02 1.949078260869566392e+01
5.342400000000000091e+02 1.939356521739130201e+01
5.346699999999999591e+02 1.929634782608696497e+01
5.351000000000000227e+02 1.919913043478260306e+01
5.355299999999999727e+02 1.910191304347826602e+01
5.359600000000000364e+02 1.900469565217390411e+01
5.363899999999999864e+02 1.890747826086956707e+01
5.368199999999999363e+02 1.881026086956523002e+01
5.372500000000000000e+02 1.871304347826086811e+01
