# #lambda	QE(%)
4.371999999999999886e+02 2.433599999999999852e+01
4.376399999999999864e+02 2.430519999999999925e+01
4.380800000000000409e+02 2.427439999999999642e+01
4.385199999999999818e+02 2.424360000000000070e+01
4.389600000000000364e+02 2.421279999999999788e+01
4.393999999999999773e+02 2.418200000000000216e+01
4.398400000000000318e+02 2.415119999999999933e+01
4.402799999999999727e+02 2.411984000000000350e+01
4.407200000000000273e+02 2.408815999999999846e+01
4.411599999999999682e+02 2.405648000000000408e+01
4.416000000000000227e+02 2.402479999999999905e+01
4.420399999999999636e+02 2.399312000000000467e+01
4.424800000000000182e+02 2.396143999999999963e+01
4.429199999999999591e+02 2.392976000000000525e+01
4.433600000000000136e+02 2.389808000000000021e+01
4.438000000000000114e+02 2.386639999999999873e+01
4.442400000000000091e+02 2.383472000000000079e+01
4.446800000000000068e+02 2.380303999999999931e+01
4.451200000000000045e+02 2.376895999999999987e+01
4.455600000000000023e+02 2.372848000000000113e+01
4.460000000000000000e+02 2.368800000000000239e+01
4.464399999999999977e+02 2.364752000000000010e+01
4.468799999999999955e+02 2.360704000000000136e+01
4.473199999999999932e+02 2.356656000000000262e+01
4.477599999999999909e+02 2.352608000000000033e+01
4.481999999999999886e+02 2.348560000000000159e+01
4.486399999999999864e+02 2.344512000000000285e+01
4.490800000000000409e+02 2.340463999999999700e+01
4.495199999999999818e+02 2.336416000000000182e+01
4.499600000000000364e+02 2.332367999999999597e+01
4.503999999999999773e+02 2.328400000000000247e+01
4.508400000000000318e+02 2.324439999999999884e+01
4.512799999999999727e+02 2.320480000000000231e+01
4.517200000000000273e+02 2.316519999999999868e+01
4.521599999999999682e+02 2.312560000000000215e+01
4.526000000000000227e+02 2.308599999999999852e+01
4.530399999999999636e+02 2.304640000000000555e+01
4.534800000000000182e+02 2.300679999999999836e+01
4.539199999999999591e+02 2.296720000000000539e+01
4.543600000000000136e+02 2.292759999999999820e+01
4.548000000000000114e+02 2.288800000000000168e+01
4.552400000000000091e+02 2.284311999999999898e+01
4.556800000000000068e+02 2.279383999999999943e+01
4.561200000000000045e+02 2.274455999999999989e+01
4.565600000000000023e+02 2.269528000000000034e+01
4.570000000000000000e+02 2.264600000000000080e+01
4.574399999999999977e+02 2.259672000000000125e+01
4.578799999999999955e+02 2.254744000000000170e+01
4.583199999999999932e+02 2.249815999999999860e+01
4.587599999999999909e+02 2.244887999999999906e+01
4.591999999999999886e+02 2.239959999999999951e+01
4.596399999999999864e+02 2.235031999999999996e+01
4.600800000000000409e+02 2.229799999999999116e+01
4.605199999999999818e+02 2.223200000000000287e+01
4.609600000000000364e+02 2.216599999999999326e+01
4.613999999999999773e+02 2.210000000000000142e+01
